id,project_id,milestone_id,title,category,status,assignee_id,due_date,priority,description,created_at,updated_at,source_type,source_meeting_id,created_by,position
29,1,201,로그인과 JWT 세션을 제공한다,backend,todo,1,,high,[Jira01 재검증 테스트 삽입] WF-174,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,0
30,1,201,프로젝트 생성과 멤버 초대를 제공한다,backend,todo,2,,high,[Jira01 재검증 테스트 삽입] WF-175,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,1
31,1,201,역할별 마이페이지 셸을 제공한다,backend,todo,3,,medium,[Jira01 재검증 테스트 삽입] WF-176,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,2
32,1,202,회의록 문서 업로드와 상태 조회를 제공한다,backend,inprogress,3,,high,[Jira01 재검증 테스트 삽입] WF-177,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,3
33,1,202,LLM 회의 분석 결과를 구조화한다,backend,inprogress,3,,high,[Jira01 재검증 테스트 삽입] WF-178,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,4
34,1,202,To-Do 후보를 검토 후 업무로 승인한다,other,todo,3,,high,[Jira01 재검증 테스트 삽입] WF-179,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,5
35,1,203,프로젝트 대시보드 기본 집계를 제공한다,frontend,todo,4,,high,[Jira01 재검증 테스트 삽입] WF-180,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,6
36,1,204,ML 지연 위험도 예측을 제공한다,ai-ml,todo,1,,high,[Jira01 재검증 테스트 삽입] WF-181,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,7
37,1,203,팀원별 업무량을 표시한다,frontend,todo,2,,high,[Jira01 재검증 테스트 삽입] WF-182,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,8
38,1,204,프로젝트 문서를 RAG 인덱싱한다,ai-ml,todo,3,,high,[Jira01 재검증 테스트 삽입] WF-183,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,9
39,1,205,출처 포함 프로젝트 Q&A를 제공한다,qa,todo,4,,high,[Jira01 재검증 테스트 삽입] WF-184,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,10
40,1,204,업무 편중 점수 모델을 제공한다,ai-ml,todo,1,,high,[Jira01 재검증 테스트 삽입] WF-185,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,11
41,1,204,ML 모델링 파이프라인을 지원한다,ai-ml,todo,2,,high,[Jira01 재검증 테스트 삽입] WF-186,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,12
42,1,203,상태 기반 칸반 업무 보드를 제공한다,frontend,todo,3,,high,[Jira01 재검증 테스트 삽입] WF-187,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,13
43,1,203,카테고리별 업무 생성과 상세 패널을 제공한다,other,todo,4,,high,[Jira01 재검증 테스트 삽입] WF-188,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,14
44,1,206,심사자 전용 기여도 리포트를 제공한다,other,todo,1,,high,[Jira01 재검증 테스트 삽입] WF-189,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,15
45,1,205,통합 QA와 권한 시나리오를 검증한다,qa,todo,2,,high,[Jira01 재검증 테스트 삽입] WF-190,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,16
46,1,205,공통 API 규칙과 응답 envelope를 적용한다,backend,todo,3,,high,[Jira01 재검증 테스트 삽입] WF-191,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,17
47,1,205,비동기 처리와 상태 폴링 기반을 구축한다,backend,inprogress,3,,high,[Jira01 재검증 테스트 삽입] WF-192,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,18
48,1,201,FS-1 인증/프로젝트/RBAC,backend,todo,4,2025-12-28,high,[Jira01 재검증 테스트 삽입] WF-193,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,19
49,1,202,FS-2 회의록 AI/To-Do,backend,inprogress,3,2025-12-28,high,[Jira01 재검증 테스트 삽입] WF-194,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,20
50,1,204,FS-3 대시보드/지연 위험도,frontend,todo,1,2025-12-28,high,[Jira01 재검증 테스트 삽입] WF-195,2026-07-16 06:51:53.944792,2026-07-16 06:51:53.944792,jira01_test_import,,,21
