task_id,title,is_done,created_at
29,API 요구사항 확인,false,2026-07-16 06:51:53
29,핵심 로직 구현,false,2026-07-16 06:51:53
29,연동 테스트 수행,false,2026-07-16 06:51:53
29,리뷰 반영 및 문서화,false,2026-07-16 06:51:53
30,API 요구사항 확인,false,2026-07-16 06:51:53
30,핵심 로직 구현,false,2026-07-16 06:51:53
30,연동 테스트 수행,false,2026-07-16 06:51:53
30,리뷰 반영 및 문서화,false,2026-07-16 06:51:53
31,API 요구사항 확인,true,2026-07-16 06:51:53
31,핵심 로직 구현,false,2026-07-16 06:51:53
31,연동 테스트 수행,false,2026-07-16 06:51:53
31,리뷰 반영 및 문서화,false,2026-07-16 06:51:53
32,API 요구사항 확인,true,2026-07-16 06:51:53
32,핵심 로직 구현,false,2026-07-16 06:51:53
32,연동 테스트 수행,false,2026-07-16 06:51:53
32,리뷰 반영 및 문서화,false,2026-07-16 06:51:53
33,API 요구사항 확인,true,2026-07-16 06:51:53
33,핵심 로직 구현,false,2026-07-16 06:51:53
33,연동 테스트 수행,false,2026-07-16 06:51:53
33,리뷰 반영 및 문서화,false,2026-07-16 06:51:53
34,작업 범위 정리,false,2026-07-16 06:51:53
34,초안 작성,false,2026-07-16 06:51:53
34,리뷰 반영,false,2026-07-16 06:51:53
34,완료 보고,false,2026-07-16 06:51:53
35,화면 흐름 정리,false,2026-07-16 06:51:53
35,컴포넌트 구현,false,2026-07-16 06:51:53
35,API 연동 확인,false,2026-07-16 06:51:53
35,반응형/QA 점검,false,2026-07-16 06:51:53
36,입력 피처 매핑 검토,false,2026-07-16 06:51:53
36,모델 실행 및 결과 확인,false,2026-07-16 06:51:53
36,예측 결과 API 연동,false,2026-07-16 06:51:53
36,성능/예외 사례 기록,false,2026-07-16 06:51:53
37,화면 흐름 정리,false,2026-07-16 06:51:53
37,컴포넌트 구현,false,2026-07-16 06:51:53
37,API 연동 확인,false,2026-07-16 06:51:53
37,반응형/QA 점검,false,2026-07-16 06:51:53
38,입력 피처 매핑 검토,false,2026-07-16 06:51:53
38,모델 실행 및 결과 확인,false,2026-07-16 06:51:53
38,예측 결과 API 연동,false,2026-07-16 06:51:53
38,성능/예외 사례 기록,false,2026-07-16 06:51:53
39,테스트 시나리오 정리,false,2026-07-16 06:51:53
39,주요 기능 검증,false,2026-07-16 06:51:53
39,버그/리스크 기록,false,2026-07-16 06:51:53
39,재테스트 및 완료 확인,false,2026-07-16 06:51:53
40,입력 피처 매핑 검토,false,2026-07-16 06:51:53
40,모델 실행 및 결과 확인,false,2026-07-16 06:51:53
40,예측 결과 API 연동,false,2026-07-16 06:51:53
40,성능/예외 사례 기록,false,2026-07-16 06:51:53
41,입력 피처 매핑 검토,false,2026-07-16 06:51:53
41,모델 실행 및 결과 확인,false,2026-07-16 06:51:53
41,예측 결과 API 연동,false,2026-07-16 06:51:53
41,성능/예외 사례 기록,false,2026-07-16 06:51:53
42,화면 흐름 정리,false,2026-07-16 06:51:53
42,컴포넌트 구현,false,2026-07-16 06:51:53
42,API 연동 확인,false,2026-07-16 06:51:53
42,반응형/QA 점검,false,2026-07-16 06:51:53
43,작업 범위 정리,false,2026-07-16 06:51:53
43,초안 작성,false,2026-07-16 06:51:53
43,리뷰 반영,false,2026-07-16 06:51:53
43,완료 보고,false,2026-07-16 06:51:53
44,작업 범위 정리,false,2026-07-16 06:51:53
